customer_id,total_spend,avg_order_value,total_transactions,avg_review_score,promo_dependency_score,loyalty_segment,satisfaction_flag
1,53,53.0,14,3.1,1.0,Bargain Hunters,At-Risk
2,64,64.0,2,3.1,1.0,Bargain Hunters,At-Risk
3,73,73.0,23,3.1,1.0,Bargain Hunters,At-Risk
4,90,90.0,49,3.5,1.0,Bargain Hunters,At-Risk
5,49,49.0,31,2.7,1.0,Bargain Hunters,At-Risk
6,20,20.0,14,2.9,1.0,Bargain Hunters,At-Risk
7,85,85.0,49,3.2,1.0,Bargain Hunters,At-Risk
8,34,34.0,19,3.2,1.0,Bargain Hunters,At-Risk
9,97,97.0,8,2.6,1.0,Bargain Hunters,At-Risk
10,31,31.0,4,4.8,1.0,Bargain Hunters,High
11,34,34.0,26,4.1,1.0,Bargain Hunters,High
12,68,68.0,10,4.9,1.0,Bargain Hunters,High
13,72,72.0,37,4.5,1.0,Bargain Hunters,High
14,51,51.0,31,4.7,1.0,Bargain Hunters,High
15,53,53.0,34,4.7,1.0,Bargain Hunters,High
16,81,81.0,8,2.8,1.0,Bargain Hunters,At-Risk
17,36,36.0,44,4.1,1.0,Bargain Hunters,High
18,38,38.0,36,4.7,1.0,Bargain Hunters,High
19,48,48.0,17,4.6,1.0,Bargain Hunters,High
20,90,90.0,46,3.3,1.0,Bargain Hunters,At-Risk
21,51,51.0,50,2.8,1.0,Bargain Hunters,At-Risk
22,62,62.0,22,4.1,1.0,Bargain Hunters,High
23,37,37.0,32,3.2,1.0,Bargain Hunters,At-Risk
24,88,88.0,40,4.4,1.0,Bargain Hunters,High
25,22,22.0,16,2.9,1.0,Bargain Hunters,At-Risk
26,25,25.0,14,3.6,1.0,Bargain Hunters,At-Risk
27,20,20.0,13,3.6,1.0,Bargain Hunters,At-Risk
28,56,56.0,7,5.0,1.0,Bargain Hunters,High
29,94,94.0,41,4.4,1.0,Bargain Hunters,High
30,48,48.0,14,4.1,1.0,Bargain Hunters,High
31,31,31.0,16,4.7,1.0,Bargain Hunters,High
32,79,79.0,45,4.7,1.0,Bargain Hunters,High
33,67,67.0,37,4.9,1.0,Bargain Hunters,High
34,38,38.0,45,3.3,1.0,Bargain Hunters,At-Risk
35,91,91.0,38,4.6,1.0,Bargain Hunters,High
36,33,33.0,48,4.0,1.0,Bargain Hunters,High
37,69,69.0,44,4.6,1.0,Bargain Hunters,High
38,45,45.0,10,2.8,1.0,Bargain Hunters,At-Risk
39,37,37.0,44,3.7,1.0,Bargain Hunters,At-Risk
40,60,60.0,18,4.2,1.0,Bargain Hunters,High
